"filename","percentage_match","percentage_match_excl_singles","percentage_single_sample_GMYC_species","oversplitting_ratio","oversplitting_excl_singles"
"resampled_1.nex",100,100,28.57,1.4,1
"resampled_2.nex",100,100,50,2,1
"resampled_3.nex",100,100,33.33,3,2
"resampled_4.nex",100,100,14.29,1.75,1.5
"resampled_5.nex",100,100,25,1.6,1.2
"resampled_6.nex",100,100,12.5,2,1.75
"resampled_7.nex",100,100,33.33,1.8,1.2
"resampled_8.nex",100,100,37.5,2,1.25
"resampled_9.nex",100,100,16.67,1.5,1.25
"resampled_10.nex",100,100,42.86,1.75,1
